review_id,query,side,rank,service_name,human_verdict,human_notes
review-0001,סיוע כספי למשרתי מילואים,unexpected_retrieved,9,"סיוע לחיילי צה""ל - תמיכה כספית",,
review-0002,סיוע משפטי בחינם לאישה בהליכי גירושין,unexpected_retrieved,10,הדרכת הורים לאמהות במשפחות בהליכי פרידה וגירושין,,
review-0003,חוג שחייה טיפולית (הידרותרופיה) לילדים על הרצף האוטיסטי,unexpected_retrieved,10,לימודי שחייה,,
review-0004,חלוקת סלי מזון לחגים בנתניה,unexpected_retrieved,2,סלי מזון היו שלום,,
review-0005,"פיטרו אותי מהעבודה מיד אחרי שחזרתי ממילואים של 3 חודשים, למי מתלוננים?",unexpected_retrieved,7,סיוע בחזרה למעגל עבודה למפונים ולנפגעי כוחות הביטחון - קהילת ברזל,,
review-0006,"אני נערה טרנסית שסובלת מבריונות בבית הספר, האם יש קבוצת תמיכה לבני נוער כמוני באזור המרכז?",unexpected_retrieved,25,מרכזי ההגנה לילדים ולנוער,,
review-0007,ליווי והדרכה לצעירים,missed_ground_truth,20,תורמים במדים – ליווי בהתנדבות לצבא,,
review-0008,קבוצת תמיכה לאחים של ילדים עם צרכים מיוחדים,unexpected_retrieved,22,וואטסאפ ייעודי להורים לילדים המתמודדים עם מחלות ראומטיות כרוניות,,
review-0009,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,201,מניעה והשמה,,
review-0010,"אני נערה טרנסית שסובלת מבריונות בבית הספר, האם יש קבוצת תמיכה לבני נוער כמוני באזור המרכז?",unexpected_retrieved,10,חצר נשית,,
review-0011,"בעלי עבר תאונת עבודה ואנחנו מסובכים בחובות, ממי אפשר לבקש עזרה?",unexpected_retrieved,4,סיוע לנזקקים ומשפחות במצוקה,,
review-0012,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,68,המרכז למיצוי זכויות,,
review-0013,אוכל למשפחה מעוטת אמצעים,missed_ground_truth,35,מכירת מוצרים במחירים מוזלים בסופר החברתי אחי יעקב,,
review-0014,מיצוי זכויות לחולים,missed_ground_truth,1,שירותי תמיכה וסיוע למתמודדות עם סרטן השד,,
review-0015,קו חם לנפגעות אלימות במשפחה בשפה הרוסית,unexpected_retrieved,6,ליווי ותמיכה בנשים נפגעות אלימות וילדיהן,,
review-0016,הוסטל בצפת,missed_ground_truth,5,הוסטל טיפולי-שיקומי-תעסוקתי לדרי רחוב,,
review-0017,סיוע משפטי למשפחות של נעדרים,missed_ground_truth,6,סיוע לאנשי צבא ובטחון מטעם אגף השיקום במשרד הבטחון,,
review-0018,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,13,הקופה של השכונה,,
review-0019,מועדון יום לאזרחים ותיקים כולל הסעות באזור השרון,missed_ground_truth,8,בית הספר הגבוה לליצנות רפואית אמבולנס המשאלות,,
review-0020,סיוע משפטי למשפחות של נעדרים,unexpected_retrieved,28,סיוע במיצוי זכויות,,
review-0021,סדנאות כתיבת קורות חיים והכנה לראיונות לבני 50 פלוס,missed_ground_truth,51,"שיקום נכי צה""ל",,
review-0022,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,94,קידום תרבות יהודית,,
review-0023,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,23,יעדים - ליווי כלכלי למשפחות מורכבות,,
review-0024,ליווי והדרכה לצעירים,unexpected_retrieved,19,מרכז קהילתי מצומצם - איתור והכוון לעולם התעסוקה עבור צעירים בסיכון,,
review-0025,"פיטרו אותי מהעבודה מיד אחרי שחזרתי ממילואים של 3 חודשים, למי מתלוננים?",unexpected_retrieved,11,מוקד פניות ציבור - באמצעות טופס דיווח,,
review-0026,תור לבדיקת שמיעה,unexpected_retrieved,22,אספקת מכשירי שיקום,,
