שאלה בשפה חופשית (שאילתת משתמש),Slug מתוך הטקסונומיה (Open Eligibility)
איך אפשר לקבל סיוע בשכר דירה לנוער?,"human_services:money:financial_assistance, human_services:housing, human_situations:age_group:teens"
היכן ניתן למצוא מידע על סיוע בשכר דירה לצעירים?,"human_services:money:financial_assistance, human_services:housing, human_situations:age_group:young_adults"
מהן הזכויות המגיעות בנושא סיוע בשכר דירה למבוגרים?,"human_services:money:financial_assistance, human_services:housing, human_situations:age_group:adults"
אני מחפש מסגרות של סיוע בשכר דירה המיועדות לגיל הרך.,"human_services:money:financial_assistance, human_services:housing, human_situations:age_group:infants"
האם קיים סבסוד ממשלתי עבור סיוע בשכר דירה לילדים?,"human_services:money:financial_assistance, human_services:housing, human_situations:age_group:children"
למי פונים כדי לקבל שירותי סיוע בשכר דירה לעולים חדשים?,"human_services:money:financial_assistance, human_services:housing, human_situations:citizenship:olim"
מהם התנאים לקבלת סיוע בשכר דירה לפליטים?,"human_services:money:financial_assistance, human_services:housing, human_situations:citizenship:refugees"
איך אפשר לקבל סיוע בשכר דירה לנשים?,"human_services:money:financial_assistance, human_services:housing, human_situations:gender:women"
היכן ניתן למצוא מידע על סיוע בשכר דירה לגברים?,"human_services:money:financial_assistance, human_services:housing, human_situations:gender:men"
מהן הזכויות המגיעות בנושא סיוע בשכר דירה למובטלים?,"human_services:money:financial_assistance, human_services:housing, human_situations:employment:unemployed"
אני מחפש מסגרות של סיוע בשכר דירה המיועדות לשכירים.,"human_services:money:financial_assistance, human_services:housing, human_situations:employment:employed"
האם קיים סבסוד ממשלתי עבור סיוע בשכר דירה למשרתי צבא ומילואים?,"human_services:money:financial_assistance, human_services:housing, human_situations:armed_forces:active_duty"
למי פונים כדי לקבל שירותי סיוע בשכר דירה לתושבי הפריפריה?,"human_services:money:financial_assistance, human_services:housing, human_situations:deprivation:geographical_periphery"
מהם התנאים לקבלת סיוע בשכר דירה לבעלי הכנסה נמוכה?,"human_services:money:financial_assistance, human_services:housing, human_situations:deprivation:low_income"
איך אפשר לקבל דיור מוגן לנוער?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:age_group:teens"
היכן ניתן למצוא מידע על דיור מוגן לצעירים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:age_group:young_adults"
מהן הזכויות המגיעות בנושא דיור מוגן למבוגרים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:age_group:adults"
אני מחפש מסגרות של דיור מוגן המיועדות לגיל הרך.,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:age_group:infants"
האם קיים סבסוד ממשלתי עבור דיור מוגן לילדים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:age_group:children"
למי פונים כדי לקבל שירותי דיור מוגן לעולים חדשים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:citizenship:olim"
מהם התנאים לקבלת דיור מוגן לפליטים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:citizenship:refugees"
איך אפשר לקבל דיור מוגן לנשים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:gender:women"
היכן ניתן למצוא מידע על דיור מוגן לגברים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:gender:men"
מהן הזכויות המגיעות בנושא דיור מוגן למובטלים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:employment:unemployed"
אני מחפש מסגרות של דיור מוגן המיועדות לשכירים.,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:employment:employed"
האם קיים סבסוד ממשלתי עבור דיור מוגן למשרתי צבא ומילואים?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:armed_forces:active_duty"
למי פונים כדי לקבל שירותי דיור מוגן לתושבי הפריפריה?,"human_services:housing:residential_housing:long_term_housing:assisted_living, human_situations:deprivation:geographical_periphery"
